term,season,facies,statistic,pvalue,perc_diff_in_means
Stream Recharge,Wet,Gravel,1.042,0.3453,-
Stream Recharge,Wet,Sand,-3.955,0.0108,-7.19
Stream Recharge,Wet,Sandy Mud,-2.791,0.0384,-3.28
Stream Recharge,Wet,Mud,-5.107,0.0037,-8.27
Stream Recharge,Dry,Gravel,1.464,0.2032,-
Stream Recharge,Dry,Sand,-2.175,0.0816,-
Stream Recharge,Dry,Sandy Mud,-3.407,0.0191,-3.0
Stream Recharge,Dry,Mud,-2.155,0.0837,-
Stream Recharge,Fall,Gravel,0.698,0.5165,-
Stream Recharge,Fall,Sand,-3.047,0.0285,-0.88
Stream Recharge,Fall,Sandy Mud,-1.614,0.1674,-
Stream Recharge,Fall,Mud,-1.402,0.2197,-
